,ID,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
0,0,4,2024,hoang mai,6.2,133.1,can ho chung cu,18.0,3.0,2.0,4.0,1.0,So hong
1,1,3,2024,north tu liem,16.45,200.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
2,2,3,2024,thanh xuan,13.793,144.0,can ho chung cu,5.0,3.0,12.5,3.0,1.0,Hop đong
3,4,3,2024,south tu liem,5.277,80.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
4,5,3,2024,south tu liem,4.3,80.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
5,6,3,2024,south tu liem,5.2,80.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
6,7,3,2024,north tu liem,9.5,44.0,can ho chung cu,6.0,13.0,7.0,13.0,1.0,Giay đo
7,8,3,2024,south tu liem,2.9,43.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
8,9,4,2024,long bien,21.2,99.0,can ho chung cu,5.0,4.0,40.0,4.0,1.0,So hong
9,10,4,2024,long bien,4.7,77.0,can ho chung cu,21.0,2.0,40.0,2.0,1.0,Hop đong
10,11,4,2024,long bien,4.95,77.0,can ho chung cu,21.0,2.0,40.0,2.0,1.0,Hop đong
11,12,4,2024,dong da,15.4,186.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
12,13,4,2024,long bien,4.9,77.0,can ho chung cu,15.0,2.0,40.0,2.0,1.0,Hop đong
13,14,4,2024,tay ho,6.6,98.0,can ho chung cu,15.0,2.0,10.0,3.0,1.0,Giay đo
14,15,4,2024,long bien,0.68,167.0,can ho chung cu,21.0,3.0,40.0,4.0,2.0,Hop đong
15,17,3,2024,tay ho,12.5,110.0,can ho chung cu,9.0,2.0,12.5,3.0,1.0,So hong
16,18,3,2024,tay ho,31.0,180.7,can ho chung cu,5.0,2.0,12.5,4.0,1.0,So hong
17,19,3,2024,south tu liem,3.5,63.5,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
18,22,3,2024,south tu liem,6.42,108.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
19,23,3,2024,thanh xuan,8.45,130.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
20,24,3,2024,cau giay,5.6,71.0,can ho chung cu,23.0,2.0,12.5,2.0,1.0,So hong
21,27,3,2024,hoang mai,0.47,107.0,can ho chung cu,20.0,2.0,12.5,3.0,1.0,Giay to hop le
22,28,3,2024,south tu liem,4.9,69.5,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
23,29,3,2024,south tu liem,4.5,62.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
24,30,3,2024,thanh xuan,6.334,72.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,Hop đong
25,31,3,2024,south tu liem,11.0,131.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
26,32,3,2024,north tu liem,4.3,83.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
27,35,3,2024,dong da,4.2,80.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
28,37,2,2024,south tu liem,3.5,62.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
29,38,2,2024,long bien,4.1,85.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
30,40,2,2024,ha dong,2.3,65.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
31,43,2,2024,long bien,10.4,168.0,can ho chung cu,5.0,3.0,12.5,4.0,1.0,KXĐ
32,44,2,2024,long bien,5.4,120.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
33,45,2,2024,cau giay,5.8,100.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
34,46,2,2024,south tu liem,4.0,80.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
35,47,2,2024,long bien,4.1,77.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
36,48,2,2024,cau giay,0.56,140.0,can ho chung cu,5.0,3.0,2.0,3.0,1.0,Hop đong
37,49,2,2024,south tu liem,4.5,88.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
38,51,2,2024,long bien,3.1,69.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
39,52,2,2024,long bien,4.3,92.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
40,55,2,2024,south tu liem,2.6,47.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
41,56,2,2024,thanh xuan,5.3,99.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
42,58,2,2024,gia lam,1.65,45.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
43,59,2,2024,hoai duc,4.8,110.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
44,60,2,2024,long bien,4.1,77.51,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
45,61,2,2024,hoai duc,2.42,43.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
46,62,2,2024,long bien,3.9,75.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
47,63,2,2024,south tu liem,2.79,45.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
48,65,2,2024,south tu liem,2.3,43.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
49,66,2,2024,hoai duc,5.1,97.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
50,67,2,2024,hoan kiem,3.7,75.0,can ho chung cu,4.0,2.0,12.5,2.0,1.0,So hong
51,68,1,2024,long bien,4.9,102.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
52,69,1,2024,long bien,4.4,86.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
53,70,1,2024,long bien,6.4,120.0,can ho chung cu,5.0,2.0,10.0,4.0,1.0,So hong
54,71,1,2024,long bien,4.5,105.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,So hong
55,72,1,2024,cau giay,7.3,140.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,Giay đo
56,73,1,2024,south tu liem,0.46,70.0,can ho chung cu,5.0,2.0,60.0,2.0,1.0,Giay đo
57,74,1,2024,south tu liem,2.7,42.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
58,76,1,2024,south tu liem,0.56,78.3,can ho chung cu,5.0,2.0,25.0,2.0,1.0,Giay đo
59,77,2,2024,south tu liem,2.86,54.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
60,78,1,2024,hoang mai,3.8,96.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
61,79,2,2024,hoai duc,4.2,88.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,KXĐ
62,81,2,2024,hoai duc,5.6,128.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
63,82,2,2024,south tu liem,5.7,126.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
64,85,1,2024,hoang mai,2.5,70.0,can ho chung cu,5.0,1.0,5.0,3.0,1.0,So hong
65,87,1,2024,thanh xuan,3.55,85.0,can ho chung cu,5.0,2.0,5.0,2.0,1.0,So hong
66,88,1,2024,hoang mai,3.75,116.0,can ho chung cu,6.0,2.0,10.0,3.0,1.0,So hong
67,89,1,2024,long bien,4.9,119.0,can ho chung cu,5.0,3.0,12.5,3.0,1.0,So hong
68,90,1,2024,thanh tri,3.3,120.0,can ho chung cu,5.0,3.0,12.5,4.0,1.0,So hong
69,91,1,2024,dong anh,2.53,85.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
70,93,1,2024,gia lam,2.6,64.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
71,95,1,2024,hoai duc,3.0,70.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
72,96,1,2024,thanh xuan,3.79,90.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
73,97,1,2024,gia lam,3.7,74.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
74,99,4,2023,cau giay,5.9,101.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,Giay đo
75,100,1,2024,south tu liem,3.6,109.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
76,101,4,2023,hai ba trung,2.22,80.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,Giay to hop le
77,102,4,2023,thanh xuan,0.1,55.0,can ho chung cu,25.0,2.0,25.0,2.0,1.0,Giay đo
78,103,4,2023,south tu liem,2.5,55.0,can ho chung cu,12.0,1.0,40.0,2.0,1.0,So hong
79,104,4,2023,thanh xuan,6.5,103.0,can ho chung cu,35.0,2.0,40.0,3.0,1.0,KXĐ
80,105,4,2023,thanh xuan,5.8,102.0,can ho chung cu,37.0,2.0,40.0,3.0,1.0,So hong
81,106,4,2023,south tu liem,1.3,31.0,can ho chung cu,9.0,1.0,60.0,1.0,1.0,So hong
82,107,4,2023,hai ba trung,1.95,60.0,can ho chung cu,1.0,1.0,5.0,2.0,1.0,Giay đo
83,108,4,2023,thanh tri,3.49,127.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
84,109,4,2023,ha dong,2.57,85.3,can ho chung cu,21.0,2.0,5.0,3.0,1.0,So hong
85,110,4,2023,cau giay,4.25,70.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,Giay đo
86,112,4,2023,ba dinh,2.7,60.0,can ho chung cu,5.0,1.0,12.5,2.0,1.0,So hong
87,115,4,2023,hoang mai,2.65,89.0,can ho chung cu,7.0,2.0,12.5,3.0,1.0,So hong
88,116,4,2023,hoan kiem,2.485,45.0,can ho chung cu,1.0,2.0,12.5,2.0,1.0,Giay đo
89,119,3,2023,thanh xuan,2.1,85.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,KXĐ
90,121,3,2023,south tu liem,1.35,27.3,can ho chung cu,5.0,2.0,12.5,4.0,1.0,So hong
91,124,3,2023,ha dong,2.5,60.0,can ho chung cu,41.0,2.0,40.0,2.0,1.0,So hong
92,125,3,2023,thanh xuan,3.8,120.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
93,126,3,2023,hai ba trung,10.5,97.0,can ho chung cu,1.0,2.0,40.0,4.0,1.0,So hong
94,127,3,2023,hoang mai,2.95,100.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
95,130,3,2023,gia lam,2.9,76.1,can ho chung cu,31.0,2.0,12.5,2.0,1.0,Giay đo
96,131,4,2023,thanh xuan,3.98,100.0,can ho chung cu,5.0,2.0,5.0,2.0,1.0,So hong
97,132,3,2023,gia lam,2.7,69.0,can ho chung cu,37.0,2.0,12.5,2.0,1.0,So hong
98,133,4,2023,hoai duc,1.78,69.0,can ho chung cu,11.0,2.0,17.5,2.0,1.0,Giay to hop le
99,137,3,2023,dong da,2.6,100.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
100,138,3,2023,cau giay,1.9,60.0,can ho chung cu,1.0,1.0,4.0,2.0,1.0,So hong
101,140,3,2023,thanh xuan,9.4,235.0,can ho chung cu,20.0,4.0,12.5,3.0,1.0,So hong
102,141,3,2023,south tu liem,4.55,103.0,can ho chung cu,9.0,2.0,17.5,3.0,1.0,So hong
103,143,3,2023,hoang mai,1.0,70.0,can ho chung cu,5.0,2.0,17.5,2.0,1.0,So hong
104,145,3,2023,hoang mai,0.35,70.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
105,146,3,2023,hoai duc,0.37,123.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
106,147,3,2023,hoang mai,0.4,68.0,can ho chung cu,10.0,2.0,12.5,2.0,1.0,So hong
107,148,3,2023,hoang mai,0.35,70.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
108,149,3,2023,hoang mai,0.38,68.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
109,150,3,2023,hoai duc,2.49,72.0,can ho chung cu,21.0,2.0,12.5,2.0,1.0,So hong
110,151,2,2023,long bien,2.57,75.6,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
111,153,2,2023,cau giay,6.0,131.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,So hong
112,154,2,2023,thanh xuan,2.4,80.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
113,156,2,2023,gia lam,0.2,64.0,can ho chung cu,27.0,2.0,17.5,2.0,1.0,So hong
114,157,2,2023,north tu liem,4.1,82.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,So hong
115,158,2,2023,south tu liem,3.2,61.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
116,159,2,2023,south tu liem,2.2,42.0,can ho chung cu,5.0,1.0,12.5,1.0,1.0,KXĐ
117,160,2,2023,south tu liem,1.5,28.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
118,161,3,2023,south tu liem,3.0,75.0,can ho chung cu,5.0,2.0,9.0,4.0,1.0,So hong
119,162,2,2023,gia lam,1.43,70.0,can ho chung cu,12.0,2.0,12.5,2.0,1.0,So hong
120,163,3,2023,dong da,1.25,40.0,can ho chung cu,2.0,1.0,12.5,1.0,1.0,So hong
121,164,3,2023,thanh xuan,1.85,60.0,can ho chung cu,5.0,1.0,5.0,2.0,1.0,So hong
122,165,3,2023,thanh xuan,2.4,63.0,can ho chung cu,5.0,1.0,10.0,2.0,1.0,So hong
123,166,3,2023,thanh tri,3.299,127.0,can ho chung cu,25.0,3.0,12.5,4.0,1.0,So hong
124,167,3,2023,cau giay,1.55,42.0,can ho chung cu,7.0,1.0,12.5,1.0,1.0,So hong
125,168,2,2023,dong da,1.39,45.0,can ho chung cu,2.0,1.0,12.5,1.0,1.0,So hong
126,169,2,2023,thanh tri,3.1,127.0,can ho chung cu,5.0,3.0,12.5,4.0,1.0,So hong
127,171,2,2023,dong da,2.8,100.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
128,172,2,2023,thanh tri,3.68,141.0,can ho chung cu,25.0,3.0,12.5,4.0,1.0,So hong
129,173,2,2023,cau giay,1.9,60.0,can ho chung cu,1.0,1.0,5.0,2.0,1.0,So hong
130,174,2,2023,hoang mai,3.2,78.0,can ho chung cu,14.0,2.0,17.5,2.0,1.0,So hong
131,175,2,2023,hoang mai,1.75,60.0,can ho chung cu,5.0,1.0,12.5,2.0,1.0,So hong
