,price,price_per_area,area,type,bedrooms,bathrooms,address,direction,law_doc,furniture,project,post_date,id,Chỗ đậu xe hơi,Ban công,Sân vườn,Phòng giải trí,Hồ bơi riêng,Tầng hầm,Góc làm việc,Nhà kho,Nuôi thú cưng,Gym,Phòng cho giúp việc,Quầy minibar,Khu vui chơi cho trẻ em,shop tiện lợi,cửa hàng thực phẩm,Coffee House,TP bank,cửa hàng quần áo,cửa hàng dụng cụ và quần áo cho trẻ em
0,1.77,32.73,54.1,Căn hộ,2,1,"Số 4, Phong Phú, Bình Chánh",KXĐ,0,0,KXĐ,2024-09-11,ABC118222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.4,100.0,64.6,Căn hộ,2,2,"Xa Lộ Hà Nội, Thảo Điền, Quận 2",KXĐ,0,1,Masteri Thảo Điền,2024-09-11,A02198783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9.4,125.33,75.2,Căn hộ,2,2,"Mai Chí Thọ, An Phú, Quận 2",Tây Nam,1,1,Eaton Park,2024-09-11,A02198780,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10.8,112.5,96.4,Căn hộ,3,2,"Xa Lộ Hà Nội, An Phú, Quận 2",Đông Nam,1,2,Lumiere Riverside,2024-10-09,A02190943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.17,106.1,77.1,Căn hộ,2,2,"Xa Lộ Hà Nội, An Phú, Quận 2",Tây Bắc,1,1,Lumiere Riverside,2024-10-11,A02191406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7.0,127.27,55.0,Căn hộ,1,1,"Mai Chí Thọ, An Phú, Quận 2",Tây Nam,1,1,Eaton Park,2024-09-11,A02198782,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9.3,125.68,74.0,Căn hộ,2,2,"Mai Chí Thọ, An Phú, Quận 2",Đông Bắc,1,1,Eaton Park,2024-09-11,A02198781,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,18.0,225.0,80.0,Căn hộ,2,2,"Đường R2, An Khánh, Quận 2",KXĐ,1,1,The Metropole Thủ Thiêm,2024-10-11,A02198976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.82,38.72,47.0,Căn hộ,1,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Bắc,1,0,Vinhomes Grand Park,2024-08-31,A09142603,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4.85,47.09,103.6,Căn hộ,3,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Nam,1,0,Vinhomes Grand Park,2024-10-03,A09137800,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,20.0,192.31,104.0,Căn hộ,2,2,"Nguyễn Thị Minh Khai, Bến Nghé, Quận 1",KXĐ,1,1,Avalon Saigon Apartments,2024-08-30,A01198772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2.75,39.86,69.2,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",KXĐ,1,2,Vinhomes Grand Park,2024-08-31,A09127522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2.14,41.88,51.0,Căn hộ,1,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",KXĐ,1,1,Vinhomes Grand Park,2024-08-31,A09186500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2.52,89.96,28.6,Căn hộ,1,1,"Nguyễn Xiển, Long Bình, Quận 9",KXĐ,1,2,The Beverly,2024-08-15,A09198741,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,3.6,75.0,48.8,Căn hộ,1,1,"Nguyễn Xiển, Long Bình, Quận 9",KXĐ,1,2,The Beverly,2024-08-15,A09198719,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.7,39.13,69.2,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Bắc,1,1,Vinhomes Grand Park,2024-08-31,A09137297,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3.2,59.26,54.9,Căn hộ,1,1,"Nguyễn Xiển, Long Bình, Quận 9",Đông Nam,1,2,The Beverly,2024-08-12,A09198679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5.3,73.61,72.0,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Nam,1,2,Masteri Centre Point,2024-08-03,A09189396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.94,41.3,47.0,Căn hộ,1,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",KXĐ,1,0,Vinhomes Grand Park,2024-08-11,A09122684,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,5.0,69.44,72.0,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Nam,1,2,Masteri Centre Point,2024-08-03,A09188717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4.3,64.18,67.0,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Nam,0,2,Masteri Centre Point,2024-08-03,A09188250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4.5,59.21,76.0,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Nam,1,2,Masteri Centre Point,2024-08-03,A09188656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4.5,64.29,70.0,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Nam,1,0,Masteri Centre Point,2024-08-03,A09189210,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4.3,84.31,51.0,Căn hộ,1,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Nam,1,2,Masteri Centre Point,2024-08-03,A09189179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,18.0,197.8,91.57,Căn hộ,2,2,"Mai Chí Thọ, Thủ Thiêm, Quận 2",Tây Bắc,1,1,Empire City,2024-08-04,A0289931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,10.0,200.0,50.0,Căn hộ,1,1,"Đường R2, An Khánh, Quận 2",Đông Nam,1,2,The Metropole Thủ Thiêm,2024-08-04,A02198666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,10.5,166.67,63.94,Căn hộ,1,1,"Mai Chí Thọ, Thủ Thiêm, Quận 2",Tây Bắc,1,2,Empire City,2024-08-04,A0287287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,10.7,214.0,50.0,Căn hộ,1,1,"Đường R2, An Khánh, Quận 2",Đông Nam,1,1,The Metropole Thủ Thiêm,2024-08-04,A02198669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16.5,179.35,92.3,Căn hộ,2,2,"Mai Chí Thọ, Thủ Thiêm, Quận 2",Tây Bắc,1,2,Empire City,2024-08-04,A02198668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,14.0,130.84,107.0,Căn hộ,2,2,"Nguyễn Cơ Thạch, An Lợi Đông, Quận 2",Đông Bắc,1,2,Sarica Condominium,2024-08-04,A02198662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2.0,38.46,52.14,Căn hộ,1,1,"Trịnh Quang Nghị, Phong Phú, Bình Chánh",KXĐ,1,2,Lovera Vista,2024-08-05,ABC91016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,25.5,172.3,148.7,Căn hộ,3,3,"Mai Chí Thọ, Thủ Thiêm, Quận 2",Tây Bắc,1,2,Empire City,2024-08-04,A02198664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,27.23,216.09,126.6,Căn hộ,3,2,"Đường R2, An Khánh, Quận 2",Tây Nam,1,2,The Metropole Thủ Thiêm,2024-08-05,A02186793,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,4.85,69.29,70.62,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Nam,1,2,Masteri Centre Point,2024-08-05,A09189240,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,4.8,68.57,70.6,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Nam,1,2,Masteri Centre Point,2024-08-05,A09189105,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2.9,42.03,69.2,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Nam,0,1,Vinhomes Grand Park,2024-08-05,A0991891,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,7.5,75.0,100.0,Căn hộ,3,2,"Nguyễn Xiển, Long Bình, Quận 9",KXĐ,1,2,The Beverly,2024-08-05,A09198660,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,5.67,78.75,72.54,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Nam,1,2,Masteri Centre Point,2024-08-05,A09189129,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,4.54,61.35,74.33,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Bắc,1,2,Masteri Centre Point,2024-08-05,A09188610,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3.5,68.63,51.25,Căn hộ,1,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Nam,1,2,Masteri Centre Point,2024-08-05,A09188608,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,37.0,425.29,87.38,Căn hộ,2,2,"Tôn Đức Thắng, Bến Nghé, Quận 1",Tây Nam,1,1,Grand Marina Saigon,2024-08-05,A01198637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,13.25,240.86,55.1,Căn hộ,1,1,"Đường R2, An Khánh, Quận 2",Đông Bắc,1,2,The Metropole Thủ Thiêm,2024-08-05,A02198671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,29.5,232.28,127.0,Căn hộ,3,2,"Mai Chí Thọ, Thủ Thiêm, Quận 2",Đông Bắc,1,2,Empire City,2024-08-05,A0287696,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2.8,40.58,69.3,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",KXĐ,1,1,Vinhomes Grand Park,2024-08-05,A09124084,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,21.91,257.74,85.4,Căn hộ,3,3,"Đường R2, An Khánh, Quận 2",Đông Bắc,1,-1,The Metropole Thủ Thiêm,2024-08-05,A02198670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,4.2,51.85,81.7,Căn hộ,3,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Nam,1,0,Vinhomes Grand Park,2024-08-05,A0983642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2.35,39.83,59.0,Căn hộ,2,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",KXĐ,1,0,Vinhomes Grand Park,2024-08-05,A09124666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2.03,34.41,59.1,Căn hộ,2,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Bắc,0,1,Vinhomes Grand Park,2024-08-05,A0991401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2.75,39.86,69.3,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Bắc,1,0,Vinhomes Grand Park,2024-08-06,A09124838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2.6,37.68,69.4,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",KXĐ,1,2,Vinhomes Grand Park,2024-08-07,A09124598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,3.1,38.27,81.7,Căn hộ,3,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",KXĐ,1,2,Vinhomes Grand Park,2024-08-06,A09124842,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2.5,36.23,69.3,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Bắc,1,0,Vinhomes Grand Park,2024-08-05,A0982322,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,16.0,175.82,91.4,Căn hộ,2,2,"Mai Chí Thọ, Thủ Thiêm, Quận 2",Tây Bắc,1,1,Empire City,2024-08-08,A0274272,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2.15,36.44,59.0,Căn hộ,2,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",KXĐ,1,2,Vinhomes Grand Park,2024-08-08,A09125045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,3.0,48.39,62.4,Căn hộ,2,2,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Bắc,0,1,Vinhomes Grand Park,2024-08-08,A09108013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2.6,44.07,59.0,Căn hộ,2,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Bắc,1,2,Vinhomes Grand Park,2024-08-08,A0984097,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,41.0,125.77,326.0,Căn hộ,4,4,"Phan Văn Đáng, Thạnh Mỹ Lợi, Quận 2",Đông Bắc,1,2,Define,2024-08-09,A02198557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2.25,38.14,59.0,Căn hộ,2,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Bắc,1,1,Vinhomes Grand Park,2024-08-11,A09122500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,16.6,89.73,185.0,Căn hộ,3,3,"Tạ Hiện, Thạnh Mỹ Lợi, Quận 2",Đông Nam,1,-1,One Verandah,2024-08-09,A02198678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2.5,42.37,59.1,Căn hộ,2,1,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Nam,1,0,Vinhomes Grand Park,2024-08-11,A0988273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,4.07,50.25,81.56,Căn hộ,3,2,"Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè",KXĐ,1,2,Sunrise Riverside,2024-08-09,ANB60306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
