price,price_per_area,land_area,floor_area,type,bedrooms,bathrooms,address,direction,floor,law_doc,furniture,entrance,project,post_date,id,Ban công,Sân vườn,Chỗ đậu xe hơi,Nuôi thú cưng,Phòng cho giúp việc,Phòng giải trí,Quầy minibar,Tầng hầm,Góc làm việc,Nhà kho,Gym,Hồ bơi riêng,Giếng trời
6.9,130.19,53.6,1852.0,Nhà phố,3,3,"Bùi Quang Là, Phường 12, Gò Vấp",Tây Nam,4,0,2,3.5m,KXĐ,2023-12-07,TGV191915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.1,94.79,96.0,212.6,Nhà phố,3,4,"Lê Đình Quản, Cát Lái, Quận 2",Đông Nam,3,0,1,4m,KXĐ,2023-12-11,T02192348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,158.14,43.8,135.9,Nhà phố,5,5,"Phan Văn Trị, Phường 11, Bình Thạnh",Đông Nam,4,0,0,KXĐ,KXĐ,2023-09-20,TBT118180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,97.14,35.7,68.5,Nhà phố,2,1,"Liên khu 2-5, Hiệp Thành, Quận 12",Tây Nam,1,0,2,3m,KXĐ,2023-09-12,T12187337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,34.34,166.0,166.0,Nhà phố,4,3,"Bình Trị Đông, Bình Trị Đông, Bình Tân",Đông,3,0,1,4m,KXĐ,2023-08-29,TTA187189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,526.32,133.0,347.78,Nhà phố,4,4,"An Phú, Quận 2",Tây Bắc,5,1,0,KXĐ,The Global City,2024-07-31,T02198355,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,413.33,75.4,120.0,Nhà phố,1,1,"Trần Hưng Đạo, Phạm Ngũ Lão, Quận 1",Đông Nam,1,0,0,KXĐ,KXĐ,2023-08-03,T01101226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.85,221.03,126.0,453.6,Nhà phố,4,4,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Tây Bắc,5,1,0,13m,Vinhomes Grand Park,2024-04-11,T09198359,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.98,90.45,44.0,61.0,Nhà phố,2,2,"Hương Lộ 3, Bình Hưng  Hòa, Bình Tân",Tây Bắc,1,0,2,5m,KXĐ,2023-10-02,TTA186676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,238.1,84.0,212.9,Nhà phố,4,3,"Lê Quốc Hưng, Phường 13, Quận 4",Đông Nam,3,0,1,KXĐ,KXĐ,2023-09-21,T04186367,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.58,203.83,47.6,47.6,Nhà phố,2,2,"Phan Văn Trị, Phường 11, Bình Thạnh",Tây Bắc,2,0,2,KXĐ,KXĐ,2023-10-25,TBT191946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,157.89,38.0,146.0,Nhà phố,4,3,"Quang Trung, Phường 8, Gò Vấp",Tây Bắc,5,0,1,3.5m,KXĐ,2023-09-21,TGV147295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,78.95,95.4,181.8,Nhà phố,1,1,"Nguyễn Lâm, Phường 7, Bình Thạnh",Đông,1,0,2,3.5m,KXĐ,2023-05-22,TBT160819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,133.33,30.3,30.3,Nhà phố,4,3,"Số 21, Phường 8, Gò Vấp",Tây,3,0,2,KXĐ,KXĐ,2023-10-25,TGV191938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,44.19,215.1,153.0,Nhà phố,4,2,"Đường Ấp 2, Xuân Thới Sơn, Hóc Môn",Đông Nam,1,0,2,KXĐ,KXĐ,2023-05-23,THM159142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.79,172.27,22.5,14.2,Nhà phố,2,1,"Điện Biên Phủ, Phường 17, Bình Thạnh",Đông Bắc,1,0,2,KXĐ,KXĐ,2023-04-14,TBT60061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.5,250.0,86.0,86.0,Nhà phố,5,5,"Số 54, Thảo Điền, Quận 2",Tây,1,0,0,KXĐ,KXĐ,2023-10-09,T0285682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,165.79,38.6,38.6,Nhà phố,3,2,"Hồ Hảo Hớn, Cô Giang, Quận 1",Đông Bắc,2,0,1,4m,KXĐ,2023-08-20,T01145841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,94.12,85.0,270.0,Nhà phố,4,3,"Số 35, Cát Lái, Quận 2",Tây,2,0,2,KXĐ,KXĐ,2023-04-05,T0264738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,66.27,83.8,146.8,Nhà phố,7,6,"Trần Văn Khánh, Tân Thuận Đông, Quận 7",Tây Bắc,2,0,1,KXĐ,KXĐ,2023-04-14,T0760125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8,103.57,56.0,130.16,Nhà phố,3,2,"Trần Xuân Soạn, Tân Kiểng, Quận 7",Đông,3,0,1,3m,KXĐ,2023-08-20,T07186339,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,137.5,48.0,48.0,Nhà phố,3,1,"Đoàn Văn Bơ, Phường 16, Quận 4",Đông,2,0,0,KXĐ,KXĐ,2023-04-14,TUN60786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,200.0,120.0,520.0,Nhà phố,3,8,"Nguyễn Văn Dung, Phường 6, Gò Vấp",Tây,4,0,2,KXĐ,KXĐ,2023-04-05,RV084,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,84.93,73.2,120.0,Nhà phố,2,3,"Nguyễn Lâm, Phường 3, Bình Thạnh",Tây,2,0,0,2m,KXĐ,2023-04-14,TUN60177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,166.67,39.2,78.4,Nhà phố,4,2,"Đề Thám, Cầu Ông Lãnh, Quận 1",Tây Nam,3,0,0,3m,KXĐ,2023-04-14,TUN60939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,465.52,29.0,50.0,Nhà phố,5,6,"Bùi Viện, Phạm Ngũ Lão, Quận 1",Tây Bắc,3,0,2,3m,KXĐ,2023-04-15,TUN61468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,80.0,45.5,91.0,Nhà phố,2,3,"Tôn Đản, Phường 10, Quận 4",Tây Bắc,2,0,1,3m,KXĐ,2023-04-17,T0493604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,239.13,92.0,450.0,Nhà phố,6,6,"Hưng Phú, Phường 9, Quận 8",Đông Nam,6,0,2,KXĐ,KXĐ,2023-04-18,T08130557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8,55.88,68.0,110.0,Nhà phố,2,2,"Thạnh Lộc 15, Thạnh Lộc, Quận 12",Đông Nam,2,0,0,KXĐ,KXĐ,2023-04-17,T1281749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,283.33,24.75,80.85,Nhà phố,3,3,"Trần Bình Trọng, Phường 1, Quận 5",Đông Nam,3,0,2,KXĐ,KXĐ,2023-04-18,T05118332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6,207.41,27.4,39.6,Nhà phố,2,2,"Cách Mạng Tháng 8, Phường 10, Quận 3",Đông Bắc,1,0,2,3m,KXĐ,2023-04-19,T03147324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.28,171.85,54.8,146.9,Nhà phố,4,5,"Nguyễn Thái Sơn, Phường 7, Gò Vấp",Bắc,3,0,1,KXĐ,KXĐ,2023-04-18,TGV147256,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,106.67,15.9,32.0,Nhà phố,1,1,"Nguyễn Duy Trinh, Bình Trưng Tây, Quận 2",Đông Bắc,1,0,2,KXĐ,KXĐ,2023-04-18,T02147267,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,183.78,37.5,35.1,Nhà phố,3,4,"Dương Bá Trạc, Phường 2, Quận 8",Nam,4,0,1,3m,KXĐ,2023-04-21,T08141528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1,53.95,76.0,211.0,Nhà phố,4,4,"Ngô Quang Thắm, Long Thới, Nhà Bè",Đông Nam,3,1,2,KXĐ,KXĐ,2023-04-21,TNB139985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,328.95,38.9,169.8,Nhà phố,6,4,"Nguyễn Trãi, Nguyễn Cư Trinh, Quận 1",Đông Bắc,4,0,0,4.5m,KXĐ,2023-04-20,T01104024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.91,113.58,52.0,50.0,Nhà phố,4,5,"Huỳnh Tấn Phát, Phú Xuân, Nhà Bè",Đông Bắc,3,0,2,KXĐ,KXĐ,2023-04-24,TNB141735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.79,72.88,52.0,46.2,Nhà phố,2,2,"Hưng Phú, Phường 8, Quận 8",Đông Nam,2,0,0,3m,KXĐ,2023-04-28,T08136263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
