,ID,Address,Post Date,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Direction,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document,Latitude,Longitude
0,0,"151, Nguyen Đuc Canh, Tuong Mai, Hoang Mai, Ha Noi",2024-10-07,4,2024,hoang mai,6.2,133.1,can ho chung cu,Đong Bac,18.0,3.0,2.0,4.0,1.0,Yes,20.9867819,105.8527303
1,1,"ciputra-tu liem, Đong Ngac, Bac Tu Liem, Ha Noi",2024-09-16,3,2024,,16.45,200.0,can ho chung cu,,,,,,,Not provided,21.08615089912593,105.7907313984558
2,2,"So 25, Đuong Le Van Luong, Nhan Chinh, Thanh Xuan, Ha Noi",2024-09-16,3,2024,thanh xuan,13.793,144.0,can ho chung cu,Đong Bac,,3.0,,3.0,1.0,Yes,21.0056282,105.8055091
3,3,"Pham Van Đong, Đong Ngac, Bac Tu Liem, Ha Noi",2024-09-19,3,2024,,16.5,200.0,can ho chung cu,Khong xac đinh,2.0,3.0,,2.0,1.0,Yes,10.8019128,106.7647475
4,4,"Tay Mo, Nam Tu Liem, Ha Noi",2024-09-23,3,2024,,5.277,80.0,can ho chung cu,,,,,,,Not provided,21.0088528,105.7439194
5,5,"Tay Mo, Nam Tu Liem, Ha Noi",2024-09-23,3,2024,,4.3,80.0,can ho chung cu,,,,,,,Not provided,21.0088528,105.7439194
6,6,"Tay Mo, Nam Tu Liem, Ha Noi",2024-09-20,3,2024,,5.2,80.0,can ho chung cu,,,,,,,Not provided,21.0088528,105.7439194
7,7,"Tay Thang Long, Co Nhue 2, Bac Tu Liem, Ha Noi",2024-09-18,3,2024,,9.5,44.0,can ho chung cu,Đong Nam,6.0,13.0,7.0,13.0,1.0,Yes,21.0617212,105.7769224
8,8,"Tay Mo, Nam Tu Liem, Ha Noi",2024-09-24,3,2024,,2.9,43.0,can ho chung cu,,,,,,,Not provided,21.0088528,105.7439194
9,9,"Thuong Thanh, Long Bien, Ha Noi",2024-10-07,4,2024,long bien,21.2,99.0,can ho chung cu,Tay Bac,5.0,4.0,40.0,4.0,1.0,Yes,21.0651992,105.8816105
10,10,"Thuong Thanh, Long Bien, Ha Noi",2024-10-04,4,2024,long bien,4.7,77.0,can ho chung cu,Đong Nam,21.0,2.0,40.0,2.0,1.0,Yes,21.060753872350947,105.87955056347656
11,11,"Thuong Thanh, Long Bien, Ha Noi",2024-10-08,4,2024,long bien,4.95,77.0,can ho chung cu,Đong Nam,21.0,2.0,40.0,2.0,1.0,Yes,21.0661103,105.8812151
12,12,"Huynh Thuc Khang, Lang Thuong, Đong Đa, Ha Noi",2024-10-03,4,2024,đong đa,15.4,186.0,can ho chung cu,,,,,,,Not provided,21.0208252,105.8065652
13,13,"Thuong Thanh, Long Bien, Ha Noi",2024-10-05,4,2024,long bien,4.9,77.0,can ho chung cu,Đong Nam,15.0,2.0,40.0,2.0,1.0,Yes,21.06131455162653,105.8795934788208
14,14,"Phu Thuong, Tay Ho, Ha Noi",2024-10-07,4,2024,tay ho,6.6,98.0,can ho chung cu,Bac,15.0,2.0,10.0,3.0,1.0,Yes,21.0838905,105.8084823
15,15,"Thuong Thanh, Long Bien, Ha Noi",2024-10-08,4,2024,long bien,0.68,167.0,can ho chung cu,Đong Nam,21.0,3.0,40.0,4.0,2.0,Yes,21.0651992,105.8816105
16,17,"Nguyen Van Huyen, Xuan La, Tay Ho, Ha Noi",2024-07-07,3,2024,tay ho,12.5,110.0,can ho chung cu,,9.0,2.0,,3.0,,Yes,21.0404324,105.7974922
17,18,"677, Lac Long Quan, Phu Thuong, Tay Ho, Ha Noi",2024-07-07,3,2024,tay ho,31.0,180.7,can ho chung cu,,,,,,,Yes,21.0722833,105.8112048
18,19,"Tay Mo, Nam Tu Liem, Ha Noi",2024-07-11,3,2024,,3.5,63.5,can ho chung cu,,,,,,,Not provided,21.0088528,105.7439194
19,22,"Cau Dien, Nam Tu Liem, Ha Noi",2024-07-17,3,2024,,6.42,108.0,can ho chung cu,,,,,,,Not provided,21.03890733888924,105.76099147207489
20,23,"Le Van Luong, Nhan Chinh, Thanh Xuan, Ha Noi",2024-07-19,3,2024,thanh xuan,8.45,130.0,can ho chung cu,,,,,,,Not provided,21.0042496,105.8033839
21,24,"Ton That Thuyet, Dich Vong Hau, Cau Giay, Ha Noi",2024-07-16,3,2024,cau giay,5.6,71.0,can ho chung cu,,23.0,2.0,,2.0,1.0,Yes,21.02730120768445,105.78601717951507
22,26,"Tay Mo, Nam Tu Liem, Ha Noi",2024-07-29,3,2024,,4.3,80.0,can ho chung cu,,,,,,,Not provided,10.876248,106.660338
23,27,"Tran Hoa, Đai Kim, Hoang Mai, Ha Noi",2024-07-21,3,2024,hoang mai,0.47,107.0,can ho chung cu,,20.0,2.0,,3.0,1.0,Yes,20.9785742,105.8236404
24,28,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-08-03,3,2024,,4.9,69.5,can ho chung cu,,,,,,,Not provided,21.0279571,105.771796
25,29,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-07-23,3,2024,,4.5,62.0,can ho chung cu,,,,,,,Not provided,21.0279571,105.771796
26,30,"So 107, Nguyen Tuan, Thanh Xuan Trung, Thanh Xuan, Ha Noi",2024-08-06,3,2024,thanh xuan,6.334,72.0,can ho chung cu,Đong Nam,,2.0,,2.0,1.0,Yes,20.9967356,105.8043746
27,31,"Tay Mo, Nam Tu Liem, Ha Noi",2024-08-05,3,2024,,11.0,131.0,can ho chung cu,,,,,,,Not provided,21.002104611873317,105.7396734631294
28,32,"Co Nhue 1, Bac Tu Liem, Ha Noi",2024-08-19,3,2024,,4.3,83.0,can ho chung cu,,,,,,,Not provided,21.0506076,105.7909724
29,35,"Phuong Mai, Đong Đa, Ha Noi",2024-08-11,3,2024,đong đa,4.2,80.0,can ho chung cu,,,,,,,Not provided,21.0012748,105.8393044
30,37,"Đai Lo Thang Long, Tay Mo, Nam Tu Liem, Ha Noi",2024-05-28,2,2024,,3.5,62.0,can ho chung cu,,,,,,,Not provided,21.007768667516213,105.74060010262451
31,38,"Huynh Van Nghe, Sai Đong, Long Bien, Ha Noi",2024-05-29,2,2024,long bien,4.1,85.0,can ho chung cu,,,,,,,Not provided,21.0384394,105.9075486
32,40,"Yen Nghia, Ha Đong, Ha Noi",2024-05-29,2,2024,ha đong,2.3,65.0,can ho chung cu,,,,,,,Not provided,20.952886336014707,105.74558787066952
33,41,"Tay Mo, Nam Tu Liem, Ha Noi",2024-05-29,2,2024,,2.6,48.0,can ho chung cu,,,1.0,,2.0,1.0,Yes,10.876248,106.660338
34,42,"Tay Mo, Nam Tu Liem, Ha Noi",2024-05-29,2,2024,,2.35,43.0,can ho chung cu,,,,,,,Not provided,10.769947514360409,106.69751502313997
35,43,"Ly Son, Thuong Thanh, Long Bien, Ha Noi",2024-05-30,2,2024,long bien,10.4,168.0,can ho chung cu,,,3.0,,4.0,,Not provided,21.0651992,105.8816105
36,44,"Ly Son, Thuong Thanh, Long Bien, Ha Noi",2024-05-29,2,2024,long bien,5.4,120.0,can ho chung cu,,,,,,,Not provided,21.0651992,105.8816105
37,45,"Nguyen Chanh, Trung Hoa, Cau Giay, Ha Noi",2024-06-03,2,2024,cau giay,5.8,100.0,can ho chung cu,,,,,,,Not provided,21.0119186,105.7923534
38,46,"My Đinh 1, Nam Tu Liem, Ha Noi",2024-06-03,2,2024,,4.0,80.0,can ho chung cu,,,,,,,Not provided,21.022521130329825,105.76013911962127
39,47,"Ly Son, Thuong Thanh, Long Bien, Ha Noi",2024-06-03,2,2024,long bien,4.1,77.0,can ho chung cu,,,,,,,Not provided,21.0651992,105.8816105
40,48,"181, Dich Vong Hau, Cau Giay, Ha Noi",2024-04-24,2,2024,cau giay,0.56,140.0,can ho chung cu,,,3.0,2.0,3.0,1.0,Yes,10.7971686,106.6756073
41,49,"Tay Mo, Nam Tu Liem, Ha Noi",2024-06-03,2,2024,,4.5,88.0,can ho chung cu,,,,,,,Not provided,21.005156984117534,105.74115136029661
42,51,"1817 CT1A, Gia Quat, Thuong Thanh, Long Bien, Ha Noi",2024-04-25,2,2024,long bien,3.1,69.0,can ho chung cu,,,,,,,Not provided,21.055791099945466,105.88448545770265
43,52,"93 Đuc Giang, Đuc Giang, Long Bien, Ha Noi",2024-04-26,2,2024,long bien,4.3,92.0,can ho chung cu,,,,,,,Not provided,21.0690368,105.8880978
44,55,"Tay Mo, Nam Tu Liem, Ha Noi",2024-05-03,2,2024,,2.6,47.0,can ho chung cu,,,,,,,Not provided,21.0088528,105.7439194
45,56,"402, Le Van Luong, Nhan Chinh, Thanh Xuan, Ha Noi",2024-05-06,2,2024,thanh xuan,5.3,99.0,can ho chung cu,,,,,,,Not provided,21.0078997,105.8082228
46,58,"S101, Lang Cam, Đa Ton, Gia Lam, Ha Noi",2024-05-06,2,2024,gia lam,1.65,45.0,can ho chung cu,,,,,,,Not provided,20.9852277,105.9318012
47,59,"Đai lo Thang Long, An Khanh, Hoai Đuc, Ha Noi",2024-04-30,2,2024,hoai đuc,4.8,110.0,can ho chung cu,,,,,,,Not provided,21.0109277,105.7215029
48,60,"Ly Son, Thuong Thanh, Long Bien, Ha Noi",2024-05-07,2,2024,long bien,4.1,77.51,can ho chung cu,,,,,,,Not provided,21.0651992,105.8816105
49,61,"so 68, Đai Lo Thang Long, Tay Mo, Nam Tu Liem, Ha Noi",2024-05-10,2,2024,,2.42,43.0,can ho chung cu,,,,,,,Not provided,21.009261000832385,105.73399113961182
50,62,"93 Đuc Giang, Đuc Giang, Long Bien, Ha Noi",2024-05-07,2,2024,long bien,3.9,75.0,can ho chung cu,,,,,,,Not provided,21.0690368,105.8880978
51,63,"Tay Mo, Nam Tu Liem, Ha Noi",2024-05-14,2,2024,,2.79,45.0,can ho chung cu,,,,,,,Not provided,20.99682854316006,105.73942401769102
52,65,"Tay Mo, Nam Tu Liem, Ha Noi",2024-05-15,2,2024,,2.3,43.0,can ho chung cu,,,,,,,Not provided,21.00688346234794,105.74083083631933
53,66,"Van Canh, Hoai Đuc, Ha Noi",2024-05-15,2,2024,hoai đuc,5.1,97.0,can ho chung cu,Đong Nam,,2.0,,3.0,1.0,Yes,21.0279052,105.7263152
54,67,"Hang Bong, Hoan Kiem, Ha Noi",2024-05-14,2,2024,hoan kiem,3.7,75.0,can ho chung cu,Khong xac đinh,4.0,2.0,,2.0,1.0,Yes,21.0299889,105.8465727
55,68,"pho Hong Tien, Bo Đe, Long Bien, Ha Noi",2024-03-01,1,2024,long bien,4.9,102.0,can ho chung cu,,,,,,,Not provided,21.0378448,105.876941
56,69,"Bo Đe, Long Bien, Ha Noi",2024-03-01,1,2024,long bien,4.4,86.0,can ho chung cu,,,,,,,Not provided,21.0355605,105.8728104
57,70,"pho Hong Tien, Bo Đe, Long Bien, Ha Noi",2024-03-05,1,2024,long bien,6.4,120.0,can ho chung cu,Đong Nam,,,10.0,,,Yes,21.0378447,105.8769363
58,71,"Sai Đong, Long Bien, Ha Noi",2024-03-01,1,2024,long bien,4.5,105.0,can ho chung cu,,,,,,,Yes,21.0348453,105.9127108
