,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
0,4,2024,hoang mai,6.2,133.1,căn hộ chung cư,18.0,3.0,2.0,4.0,1.0,Yes
1,3,2024,north tu liem,16.45,200.0,căn hộ chung cư,,,,,,Not provided
2,3,2024,thanh xuan,13.793,144.0,căn hộ chung cư,,3.0,,3.0,1.0,Yes
3,3,2024,south tu liem,5.277,80.0,căn hộ chung cư,,,,,,Not provided
4,3,2024,south tu liem,4.3,80.0,căn hộ chung cư,,,,,,Not provided
5,3,2024,south tu liem,5.2,80.0,căn hộ chung cư,,,,,,Not provided
6,3,2024,north tu liem,9.5,44.0,căn hộ chung cư,6.0,13.0,7.0,13.0,1.0,Yes
7,3,2024,south tu liem,2.9,43.0,căn hộ chung cư,,,,,,Not provided
8,4,2024,long bien,21.2,99.0,căn hộ chung cư,5.0,4.0,40.0,4.0,1.0,Yes
9,4,2024,long bien,4.7,77.0,căn hộ chung cư,21.0,2.0,40.0,2.0,1.0,Yes
10,4,2024,long bien,4.95,77.0,căn hộ chung cư,21.0,2.0,40.0,2.0,1.0,Yes
11,4,2024,dong da,15.4,186.0,căn hộ chung cư,,,,,,Not provided
12,4,2024,long bien,4.9,77.0,căn hộ chung cư,15.0,2.0,40.0,2.0,1.0,Yes
13,4,2024,tay ho,6.6,98.0,căn hộ chung cư,15.0,2.0,10.0,3.0,1.0,Yes
14,4,2024,long bien,0.68,167.0,căn hộ chung cư,21.0,3.0,40.0,4.0,2.0,Yes
15,3,2024,tay ho,12.5,110.0,căn hộ chung cư,9.0,2.0,,3.0,,Yes
16,3,2024,tay ho,31.0,180.7,căn hộ chung cư,,,,,,Yes
17,3,2024,south tu liem,3.5,63.5,căn hộ chung cư,,,,,,Not provided
18,3,2024,south tu liem,6.42,108.0,căn hộ chung cư,,,,,,Not provided
19,3,2024,thanh xuan,8.45,130.0,căn hộ chung cư,,,,,,Not provided
20,3,2024,cau giay,5.6,71.0,căn hộ chung cư,23.0,2.0,,2.0,1.0,Yes
21,3,2024,hoang mai,0.47,107.0,căn hộ chung cư,20.0,2.0,,3.0,1.0,Yes
22,3,2024,south tu liem,4.9,69.5,căn hộ chung cư,,,,,,Not provided
23,3,2024,south tu liem,4.5,62.0,căn hộ chung cư,,,,,,Not provided
