,Day,Month,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document,Latitude,Longitude
0,7,10,2024,hoàng mai,6.2,133.1,căn hộ chung cư,18.0,3.0,2.0,4.0,1.0,Yes,20.9867819,105.8527303
1,16,9,2024,,16.45,200.0,căn hộ chung cư,,,,,,Not provided,21.08615089912593,105.7907313984558
2,16,9,2024,thanh xuân,13.793,144.0,căn hộ chung cư,,3.0,,3.0,1.0,Yes,21.0056282,105.8055091
3,19,9,2024,,16.5,200.0,căn hộ chung cư,2.0,3.0,,2.0,1.0,Yes,10.8019128,106.7647475
4,23,9,2024,,5.277,80.0,căn hộ chung cư,,,,,,Not provided,21.0088528,105.7439194
5,23,9,2024,,4.3,80.0,căn hộ chung cư,,,,,,Not provided,21.0088528,105.7439194
6,20,9,2024,,5.2,80.0,căn hộ chung cư,,,,,,Not provided,21.0088528,105.7439194
7,18,9,2024,,9.5,44.0,căn hộ chung cư,6.0,13.0,7.0,13.0,1.0,Yes,21.0617212,105.7769224
8,24,9,2024,,2.9,43.0,căn hộ chung cư,,,,,,Not provided,21.0088528,105.7439194
9,7,10,2024,long biên,21.2,99.0,căn hộ chung cư,5.0,4.0,40.0,4.0,1.0,Yes,21.0651992,105.8816105
10,4,10,2024,long biên,4.7,77.0,căn hộ chung cư,21.0,2.0,40.0,2.0,1.0,Yes,21.060753872350947,105.87955056347656
11,8,10,2024,long biên,4.95,77.0,căn hộ chung cư,21.0,2.0,40.0,2.0,1.0,Yes,21.0661103,105.8812151
12,3,10,2024,đống đa,15.4,186.0,căn hộ chung cư,,,,,,Not provided,21.0208252,105.8065652
13,5,10,2024,long biên,4.9,77.0,căn hộ chung cư,15.0,2.0,40.0,2.0,1.0,Yes,21.06131455162653,105.8795934788208
14,7,10,2024,tây hồ,6.6,98.0,căn hộ chung cư,15.0,2.0,10.0,3.0,1.0,Yes,21.0838905,105.8084823
15,8,10,2024,long biên,0.68,167.0,căn hộ chung cư,21.0,3.0,40.0,4.0,2.0,Yes,21.0651992,105.8816105
16,7,7,2024,tây hồ,12.5,110.0,căn hộ chung cư,9.0,2.0,,3.0,,Yes,21.0404324,105.7974922
17,7,7,2024,tây hồ,31.0,180.7,căn hộ chung cư,,,,,,Yes,21.0722833,105.8112048
18,11,7,2024,,3.5,63.5,căn hộ chung cư,,,,,,Not provided,21.0088528,105.7439194
19,17,7,2024,,6.42,108.0,căn hộ chung cư,,,,,,Not provided,21.03890733888924,105.76099147207489
20,19,7,2024,thanh xuân,8.45,130.0,căn hộ chung cư,,,,,,Not provided,21.0042496,105.8033839
21,16,7,2024,cầu giấy,5.6,71.0,căn hộ chung cư,23.0,2.0,,2.0,1.0,Yes,21.02730120768445,105.78601717951507
22,29,7,2024,,4.3,80.0,căn hộ chung cư,,,,,,Not provided,10.876248,106.660338
23,21,7,2024,hoàng mai,0.47,107.0,căn hộ chung cư,20.0,2.0,,3.0,1.0,Yes,20.9785742,105.8236404
24,3,8,2024,,4.9,69.5,căn hộ chung cư,,,,,,Not provided,21.0279571,105.771796
25,23,7,2024,,4.5,62.0,căn hộ chung cư,,,,,,Not provided,21.0279571,105.771796
26,6,8,2024,thanh xuân,6.334,72.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes,20.9967356,105.8043746
27,5,8,2024,,11.0,131.0,căn hộ chung cư,,,,,,Not provided,21.002104611873317,105.7396734631294
28,19,8,2024,,4.3,83.0,căn hộ chung cư,,,,,,Not provided,21.0506076,105.7909724
29,11,8,2024,đống đa,4.2,80.0,căn hộ chung cư,,,,,,Not provided,21.0012748,105.8393044
30,28,5,2024,,3.5,62.0,căn hộ chung cư,,,,,,Not provided,21.007768667516213,105.74060010262451
31,29,5,2024,long biên,4.1,85.0,căn hộ chung cư,,,,,,Not provided,21.0384394,105.9075486
